REGISTRATION_DATE,44,88,45,46,47,48,49,50,51,52,53,10,54,11,55,12,56,13,57,14,58,15,59,16,17,18,19,1,2,3,4,5,6,7,8,9,60,61,62,63,20,64,21,65,22,66,23,67,24,68,25,69,26,27,28,29,70,71,72,73,30,74,31,75,32,76,33,77,34,78,35,79,36,37,38,39,80,81,82,83,40,84,41,85,42,86,43,87
8/3/2019,,,6,2,5,18,6,8,7,10,,2,5,1,13,9,,32,32,2,,2,2,1,1,53,,,2,1,1,2,4,2,3,22,1,,1,,4,,16,1,,,8,5,1,1,108,1,1,,3,18,8,1,2,4,1,1,63,,11,83,5,46,,30,2,3,3,3,4,2,5,1,,23,2,,4,10,1,1,6,13
7/25/2020,2,,14,,16,17,4,17,5,16,,1,2,3,10,9,,34,43,3,,3,2,,2,93,2,1,3,5,3,2,1,3,4,37,9,,1,2,2,4,15,4,4,1,29,16,,2,117,4,1,3,7,26,11,9,2,3,3,3,62,1,7,59,3,26,,31,3,7,5,2,6,4,6,1,,28,2,2,8,20,5,,18,25
2/25/2020,,1,7,1,20,35,2,30,2,32,1,2,6,2,15,19,,45,57,5,1,14,2,1,7,250,8,,6,20,5,9,4,5,1,32,5,,5,,5,3,39,5,2,,19,16,2,2,69,2,5,2,2,24,40,11,1,4,2,,100,3,12,71,4,36,,26,1,9,7,5,1,12,7,,,42,3,1,8,12,5,2,10,29
6/27/2019,,1,9,2,16,51,4,32,5,11,,,5,7,22,20,,27,43,4,2,12,5,1,4,255,,,5,1,16,6,7,2,6,37,2,1,2,,3,1,18,7,2,6,26,20,2,1,203,1,4,2,3,35,18,5,2,3,1,4,83,2,9,39,4,31,1,22,3,4,3,,2,3,6,,1,38,3,3,10,12,1,2,14,16
5/26/2020,2,,11,21,32,36,6,30,3,16,1,,10,3,18,26,,53,57,5,,4,13,,8,163,4,1,3,4,41,7,4,6,4,70,8,4,3,4,2,,19,8,21,,35,23,2,7,57,3,2,25,7,24,86,2,49,5,8,8,104,1,19,77,2,39,,34,3,18,5,2,8,9,6,,,48,5,2,9,10,,6,21,28
10/10/2019,7,,11,3,22,22,1,13,3,14,1,4,15,5,7,10,,23,48,5,2,5,8,1,3,96,3,2,3,10,2,1,3,3,3,21,5,1,8,2,3,1,23,3,1,2,20,17,1,2,36,1,5,1,4,17,13,5,,5,,3,62,1,6,59,1,35,,21,4,12,4,4,2,13,3,1,1,36,1,2,3,12,3,2,16,12
9/8/2020,28,4,61,22,229,185,25,98,31,167,16,17,50,14,41,67,4,148,233,33,3,22,20,18,50,1637,34,9,40,23,64,35,25,23,12,529,53,4,38,4,19,16,149,38,44,14,152,140,20,19,488,20,17,11,89,85,118,38,34,18,27,23,342,11,41,360,16,274,12,131,24,40,28,18,19,113,40,8,6,153,9,27,35,93,51,7,167,131
3/5/2018,22,,32,5,75,35,32,25,4,15,,6,42,2,10,12,2,40,49,6,3,8,8,1,10,67,,5,21,4,3,3,5,5,7,95,19,3,6,1,2,2,52,8,20,4,17,20,1,2,106,7,8,1,9,9,28,20,2,5,8,11,84,16,16,43,2,48,1,61,3,11,5,1,3,5,9,6,,22,1,1,5,66,7,2,9,25
5/6/2017,,,4,,5,17,,1,,3,1,,2,1,3,5,,5,16,4,,3,2,,3,29,,,,,,,1,1,2,19,,,1,2,,2,10,,2,,6,6,,,18,,2,1,1,6,7,,1,,,2,22,,6,10,3,16,,5,1,1,,3,,1,3,,1,12,1,,4,2,1,4,1,1
9/27/2018,7,,62,8,131,76,9,41,11,53,,4,16,6,24,25,,74,139,3,2,15,7,5,16,587,8,2,14,26,4,24,13,8,6,54,6,5,10,5,10,5,66,18,7,7,68,68,7,19,430,10,4,15,24,65,49,35,10,9,21,20,240,6,24,149,2,199,,57,16,14,7,6,4,10,11,14,,78,2,3,9,46,22,3,49,73
