rank,name,pop2021
293,Pleasant Run,4887
294,Toronto,4855
295,South Lebanon,4802
296,Reminderville,4785
297,Cherry Grove,4747
298,Cedarville,4738
299,Miami Heights,4697
300,Lexington,4694
301,Silverton,4693
302,Sheffield,4682
303,New Lexington,4681
304,Summerside,4666
305,Coldwater,4618
306,Greenfield,4562
307,Ashville,4557
308,Ottawa Hills,4530
309,Huber Ridge,4468
310,West Jefferson,4459
311,Crestline,4427
312,Newton Falls,4413
313,Ottawa,4377
314,East Palestine,4360
315,Archbold,4319
316,St. Bernard,4302
317,Park Layne,4264
318,Edgewood,4253
319,Mount Repose,4249
320,Pleasant Run Farm,4246
321,Blanchester,4238
322,Lake Darby,4220
323,Georgetown,4173
324,Waverly,4172
325,Fruit Hill,4156
326,Mulberry,4143
327,Sebring,4128
328,Bluffton,4094
329,New Lebanon,3966
330,Barnesville,3926
331,Bellaire,3911
332,Chagrin Falls,3909
333,Montpelier,3902
334,Swanton,3874
335,Yellow Springs,3838
336,Greentown,3815
337,South Point,3809
338,Mogadore,3803
339,Calcutta,3755
340,Newcomerstown,3715
341,Mount Gilead,3706
342,South Russell,3692
343,Northfield,3655
344,Richfield,3636
345,Wintersville,3623
346,Minerva,3602
347,Oakwood,3584
348,Golf Manor,3579
349,North Baltimore,3567
350,Gallipolis,3556
351,Greenhills,3547
352,Amberley,3545
353,Carey,3524
354,Brimfield,3513
355,Shadyside,3497
356,Mariemont,3492
357,Delshire,3483
358,Woodlawn,3466
359,Mineral Ridge,3448
360,Lockland,3445
361,Dillonvale,3443
362,Hicksville,3436
363,Ross,3432
364,Lake Lakengren,3405
365,Mount Orab,3394
367,Paulding,3383
366,Cleves,3383
368,Lincoln Heights,3349
369,Sherwood,3328
371,Orange,3326
370,Bainbridge,3326
372,Salem Heights,3314
373,Moreland Hills,3311
374,Taylor Creek,3307
375,Mayfield,3301
376,Waynesville,3275
377,Wellsville,3262
378,Four Bridges,3246
379,Uniontown,3241
380,Lordstown,3230
381,West Portsmouth,3213
382,Millersburg,3208
383,Walbridge,3183
384,Madison,3168
385,West Union,3163
386,Mingo Junction,3157
387,Hartville,3127
388,Beechwood Trails,3106
389,Cadiz,3103
390,Delta,3070
391,Doylestown,3065
392,Lakemore,3064
393,Fairport Harbor,3061
394,Richville,3054
395,Baltimore,3014
396,McDonald,2996
397,Dry Ridge,2992
398,Carrollton,2986
399,Day Heights,2978
400,Jefferson,2968
401,The Plains,2946
402,New Bremen,2937
403,Lodi,2933
404,Buckeye Lake,2907
405,Bethel,2831
406,Minster,2813
407,North Kingsville,2768
408,Covington,2754
409,Sixteen Mile Stand,2746
410,Ballville,2744
411,LaGrange,2725
413,New Richmond,2724
412,Mount Healthy Heights,2724
414,Evendale,2717
415,Strasburg,2704
416,Devola,2702
417,Middlefield,2686
418,Newtown,2681
419,Oak Harbor,2675
420,Lisbon,2600
421,Richwood,2598
422,Loudonville,2591
423,Williamsburg,2585
424,Dennison,2584
425,St. Henry,2567
426,Sabina,2547
427,Gambier,2546
428,Fredericktown,2541
429,Versailles,2528
430,Burlington,2521
431,Hebron,2511
432,Silver Lake,2484
433,Crooksville,2482
434,Gibsonburg,2474
435,Seville,2451
436,North Zanesville,2423
437,Bolindale,2398
438,New Miami,2397
439,Wright-Patterson AFB,2387
440,Enon,2380
441,Middleport,2366
442,New London,2340
443,Poland,2336
444,Byesville,2330
445,Shawnee Hills,2316
447,Wilberforce,2311
446,West Lafayette,2311
448,Churchill,2309
449,Garrettsville,2299
450,Terrace Park,2295
451,Utica,2294
452,Skyline Acres,2266
453,Sugarcreek,2264
454,Hunter,2251
455,Genoa,2247
456,Centerburg,2246
