REGISTRATION_DATE,44,88,45,46,47,48,49,50,51,52,53,10,54,11,55,12,56,13,57,14,58,15,59,16,17,18,19,1,2,3,4,5,6,7,8,9,60,61,62,63,20,64,21,65,22,66,23,67,24,68,25,69,26,27,28,29,70,71,72,73,30,74,31,75,32,76,33,77,34,78,35,79,36,37,38,39,80,81,82,83,40,84,41,85,42,86,43,87
6/25/1995,2,,,,5,,,2,,,,,,,,,,1,10,,,,,,,4,,,,1,1,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
1/22/1996,1,14,4,5,20,40,5,12,3,6,1,2,3,3,13,8,,7,47,4,,4,2,1,,18,12,,13,6,1,3,,,2,8,1,1,,1,2,3,9,4,15,1,3,6,1,,,2,5,,7,6,,,11,,5,,27,4,3,7,,23,,2,,1,1,,4,1,6,,,,,4,1,1,1,4,15,1
3/2/1993,,,10,,,6,4,31,1,,19,2,1,2,1,6,,3,4,,,10,,,,8,,,2,,1,1,3,,,2,1,2,,,,,,,1,,2,1,,,,1,,,,,1,,,,,1,2,,2,2,5,4,,3,,1,1,,1,,9,,,,,11,2,1,3,,10,2
3/1/2015,,,3,1,2,2,,4,,4,,1,,1,2,1,,6,2,2,,,1,,1,18,1,,,2,,,,,,7,1,,1,,,1,1,1,,2,2,,,,15,,,,,4,5,,1,,,1,6,,2,2,,5,,3,,,,,,1,1,,,2,1,1,1,1,,,1,2
7/31/1954,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/1992,,,,1,4,7,,3,,45,,,,,1,,,1,1,,1,,2,,,2,,,,,,2,,1,,,2,1,,1,1,,,,,,,1,,,,1,,,,,2,,1,1,,16,,,,3,2,4,1,,,,,,1,,,,,,,3,1,,,,2,
3/31/1973,,,1,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/1968,,,2,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,
8/17/1968,2,,,,,,,,,,,,,,,,,,13,,,,,,,4,,,,,,,,1,,6,,,,,,,,,2,1,,3,,,,,,,,3,,,,,,,,,,6,,8,,,,,,,,,,,,1,,,11,1,,,5,
