,date,Adams,Allen,Ashland,Ashtabula,Athens,Auglaize,Belmont,Brown,Butler,Carroll,Champaign,Clark,Clermont,Clinton,Columbiana,Coshocton,Crawford,Cuyahoga,Darke,Defiance,Delaware,Erie,Fairfield,Fayette,Franklin,Fulton,Gallia,Geauga,Greene,Guernsey,Hamilton,Hancock,Hardin,Harrison,Henry,Highland,Hocking,Holmes,Huron,Jackson,Jefferson,Knox,Lake,Lawrence,Licking,Logan,Lorain,Lucas,Madison,Mahoning,Marion,Medina,Meigs,Mercer,Miami,Monroe,Montgomery,Morgan,Morrow,Muskingum,Noble,Ottawa,Paulding,Perry,Pickaway,Pike,Portage,Preble,Putnum,Richland,Ross,Sandusky,Scioto,Seneca,Shelby,Stark,Summit,Trumbull,Tuscarawas,Union,Van Wert,Vinton,Warren,Washington,Wayne,Williams,Wood,Wyandot
1185,7/17/2020,2.0,20.0,7.0,9.0,3.0,4.0,8.0,4.0,177.0,4.0,9.0,23.0,54.0,7.0,29.0,1.0,9.0,466,7.0,6.0,51.0,7.0,59.0,4.0,185.0,4.0,3.0,39.0,28.0,2.0,140.0,19.0,7.0,0.0,13.0,7.0,4.0,5.0,28.0,6.0,7.0,14.0,22.0,11.0,33.0,1.0,59.0,31.0,9.0,20.0,8.0,30.0,2.0,14.0,19.0,0.0,115.0,1.0,3.0,11.0,0.0,7.0,0.0,12.0,13.0,2.0,31.0,8.0,5.0,12.0,19.0,21.0,13.0,8.0,7.0,119.0,75.0,31.0,14.0,13.0,1.0,0.0,70.0,11.0,18.0,10.0,45.0,3.0
1186,2/1/2020,0.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,27.0,2.0,4.0,11.0,50.0,4.0,6.0,0.0,2.0,73,2.0,3.0,20.0,2.0,21.0,0.0,62.0,2.0,2.0,1.0,30.0,3.0,49.0,9.0,4.0,0.0,5.0,7.0,1.0,3.0,9.0,6.0,2.0,1.0,24.0,0.0,16.0,6.0,9.0,27.0,6.0,18.0,3.0,14.0,0.0,6.0,14.0,0.0,46.0,0.0,2.0,4.0,0.0,2.0,2.0,4.0,8.0,1.0,15.0,2.0,2.0,8.0,1.0,4.0,1.0,5.0,4.0,54.0,53.0,23.0,5.0,11.0,6.0,0.0,41.0,1.0,11.0,2.0,17.0,0.0
1187,7/13/2019,1.0,1.0,2.0,1.0,5.0,1.0,0.0,1.0,9.0,1.0,2.0,5.0,13.0,0.0,7.0,0.0,2.0,39,0.0,2.0,22.0,1.0,13.0,0.0,41.0,2.0,1.0,3.0,24.0,1.0,40.0,9.0,4.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,4.0,2.0,9.0,0.0,4.0,2.0,5.0,19.0,1.0,7.0,2.0,5.0,0.0,5.0,8.0,0.0,27.0,0.0,4.0,2.0,0.0,2.0,1.0,3.0,3.0,0.0,7.0,3.0,1.0,2.0,2.0,2.0,5.0,2.0,0.0,27.0,35.0,20.0,6.0,5.0,1.0,0.0,22.0,2.0,8.0,2.0,10.0,0.0
1188,5/10/2020,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,1.0,20,1.0,0.0,3.0,1.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,5.0,7.0,2.0,0.0,3.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0
1189,10/26/2019,1.0,4.0,0.0,0.0,0.0,6.0,1.0,0.0,13.0,2.0,0.0,11.0,27.0,0.0,4.0,0.0,1.0,43,2.0,3.0,9.0,1.0,10.0,0.0,24.0,1.0,0.0,3.0,15.0,2.0,38.0,7.0,4.0,0.0,4.0,3.0,4.0,1.0,4.0,1.0,0.0,1.0,4.0,0.0,4.0,2.0,8.0,14.0,1.0,11.0,2.0,7.0,0.0,2.0,5.0,1.0,41.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,11.0,6.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,30.0,23.0,17.0,0.0,1.0,1.0,0.0,13.0,1.0,7.0,2.0,7.0,0.0
1190,8/23/2020,8.0,37.0,19.0,39.0,22.0,24.0,17.0,17.0,287.0,9.0,15.0,48.0,140.0,25.0,34.0,12.0,22.0,721,25.0,13.0,90.0,25.0,127.0,24.0,419.0,16.0,10.0,33.0,59.0,18.0,231.0,40.0,14.0,8.0,14.0,15.0,14.0,4.0,55.0,12.0,23.0,38.0,91.0,15.0,75.0,12.0,97.0,124.0,22.0,68.0,19.0,104.0,9.0,21.0,40.0,4.0,181.0,3.0,21.0,44.0,8.0,14.0,9.0,33.0,38.0,19.0,81.0,12.0,11.0,82.0,38.0,22.0,34.0,25.0,20.0,266.0,209.0,152.0,27.0,29.0,13.0,7.0,92.0,28.0,81.0,13.0,93.0,3.0
1191,4/3/2020,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,48.0,0.0,2.0,4.0,12.0,2.0,1.0,2.0,1.0,58,3.0,2.0,9.0,3.0,10.0,3.0,32.0,1.0,0.0,4.0,8.0,0.0,29.0,6.0,4.0,0.0,0.0,5.0,2.0,0.0,4.0,1.0,3.0,1.0,5.0,1.0,11.0,0.0,17.0,11.0,1.0,6.0,2.0,8.0,1.0,1.0,3.0,0.0,28.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,12.0,1.0,3.0,2.0,0.0,1.0,35.0,23.0,4.0,4.0,2.0,0.0,1.0,15.0,4.0,8.0,1.0,6.0,0.0
1192,9/6/2019,3.0,7.0,8.0,7.0,8.0,5.0,34.0,2.0,71.0,3.0,2.0,15.0,62.0,3.0,9.0,13.0,15.0,272,3.0,6.0,38.0,6.0,28.0,0.0,209.0,6.0,0.0,29.0,21.0,2.0,122.0,5.0,3.0,1.0,4.0,7.0,4.0,5.0,9.0,2.0,8.0,4.0,26.0,11.0,17.0,2.0,29.0,166.0,8.0,13.0,3.0,35.0,2.0,8.0,9.0,1.0,51.0,0.0,10.0,9.0,4.0,3.0,1.0,3.0,3.0,1.0,21.0,3.0,0.0,17.0,4.0,7.0,5.0,8.0,1.0,64.0,127.0,34.0,5.0,17.0,0.0,1.0,33.0,21.0,23.0,2.0,15.0,1.0
1193,12/2/2019,50.0,25.0,1.0,0.0,5.0,3.0,5.0,6.0,125.0,5.0,5.0,10.0,21.0,5.0,8.0,27.0,14.0,200,4.0,3.0,19.0,8.0,37.0,1.0,70.0,4.0,0.0,9.0,14.0,1.0,60.0,10.0,6.0,0.0,9.0,1.0,2.0,2.0,22.0,2.0,8.0,15.0,16.0,19.0,21.0,1.0,46.0,37.0,4.0,14.0,4.0,39.0,0.0,8.0,14.0,1.0,50.0,6.0,4.0,24.0,1.0,11.0,5.0,22.0,7.0,3.0,18.0,2.0,4.0,6.0,9.0,9.0,1.0,5.0,15.0,54.0,48.0,25.0,3.0,8.0,2.0,0.0,32.0,24.0,9.0,3.0,21.0,5.0
1194,6/29/2020,3.0,50.0,4.0,27.0,24.0,10.0,7.0,5.0,99.0,15.0,6.0,19.0,46.0,7.0,19.0,1.0,26.0,556,6.0,4.0,62.0,12.0,61.0,7.0,123.0,8.0,6.0,14.0,33.0,17.0,110.0,27.0,7.0,5.0,3.0,6.0,3.0,18.0,22.0,8.0,11.0,26.0,19.0,16.0,50.0,5.0,94.0,61.0,11.0,53.0,9.0,44.0,1.0,54.0,27.0,5.0,93.0,6.0,37.0,28.0,0.0,9.0,2.0,8.0,9.0,2.0,30.0,3.0,3.0,48.0,6.0,5.0,8.0,9.0,4.0,75.0,80.0,99.0,31.0,10.0,5.0,1.0,53.0,9.0,33.0,1.0,38.0,6.0
